2026-03-06 09:10:47 | 0050.TW | Cur:77.4 | Prev:75.6 | H:77.4 | L:77.4 | Stale:True
2026-03-06 09:10:47 | 2603.TW | Cur:208.0 | Prev:209.5 | H:208.0 | L:208.0 | Stale:True
2026-03-06 09:10:47 | 2609.TW | Cur:60.0 | Prev:63.6 | H:60.0 | L:60.0 | Stale:True
2026-03-06 09:10:47 | 00679B.TWO | Cur:27.62 | Prev:27.9 | H:27.62 | L:27.62 | Stale:True
2026-03-06 09:10:47 | 00687B.TWO | Cur:29.0 | Prev:29.29 | H:29.0 | L:29.0 | Stale:True
2026-03-06 09:11:48 | 0050.TW | Cur:77.4 | Prev:75.6 | H:77.4 | L:77.4 | Stale:True
2026-03-06 09:11:48 | 2603.TW | Cur:208.0 | Prev:209.5 | H:208.0 | L:208.0 | Stale:True
2026-03-06 09:11:48 | 2609.TW | Cur:60.0 | Prev:63.6 | H:60.0 | L:60.0 | Stale:True
2026-03-06 09:11:48 | 00679B.TWO | Cur:27.62 | Prev:27.9 | H:27.62 | L:27.62 | Stale:True
2026-03-06 09:11:48 | 00687B.TWO | Cur:29.0 | Prev:29.29 | H:29.0 | L:29.0 | Stale:True
2026-03-06 09:12:11 | 0050.TW | Cur:77.4 | Prev:75.6 | H:77.4 | L:77.4 | Stale:True
2026-03-06 09:12:12 | 2603.TW | Cur:208.0 | Prev:209.5 | H:208.0 | L:208.0 | Stale:True
2026-03-06 09:12:12 | 2609.TW | Cur:60.0 | Prev:63.6 | H:60.0 | L:60.0 | Stale:True
2026-03-06 09:12:12 | 00679B.TWO | Cur:27.62 | Prev:27.9 | H:27.62 | L:27.62 | Stale:True
2026-03-06 09:12:12 | 00687B.TWO | Cur:29.0 | Prev:29.29 | H:29.0 | L:29.0 | Stale:True
2026-03-06 09:13:12 | 0050.TW | Cur:77.4 | Prev:75.6 | H:77.4 | L:77.4 | Stale:True
2026-03-06 09:13:12 | 2603.TW | Cur:208.0 | Prev:209.5 | H:208.0 | L:208.0 | Stale:True
2026-03-06 09:13:12 | 2609.TW | Cur:60.0 | Prev:63.6 | H:60.0 | L:60.0 | Stale:True
2026-03-06 09:13:13 | 00679B.TWO | Cur:27.62 | Prev:27.9 | H:27.62 | L:27.62 | Stale:True
2026-03-06 09:13:13 | 00687B.TWO | Cur:29.0 | Prev:29.29 | H:29.0 | L:29.0 | Stale:True
2026-03-06 09:13:32 | 0050.TW | Cur:77.4 | Prev:75.6 | H:77.4 | L:77.4 | Stale:True
2026-03-06 09:13:32 | 2603.TW | Cur:208.0 | Prev:209.5 | H:208.0 | L:208.0 | Stale:True
2026-03-06 09:13:32 | 2609.TW | Cur:60.0 | Prev:63.6 | H:60.0 | L:60.0 | Stale:True
2026-03-06 09:13:32 | 00679B.TWO | Cur:27.62 | Prev:27.9 | H:27.62 | L:27.62 | Stale:True
2026-03-06 09:13:32 | 00687B.TWO | Cur:29.0 | Prev:29.29 | H:29.0 | L:29.0 | Stale:True
2026-03-06 09:13:59 | 0050.TW | Cur:77.4 | Prev:75.6 | H:77.4 | L:77.4 | Stale:True
2026-03-06 09:13:59 | 2603.TW | Cur:208.0 | Prev:209.5 | H:208.0 | L:208.0 | Stale:True
2026-03-06 09:13:59 | 2609.TW | Cur:60.0 | Prev:63.6 | H:60.0 | L:60.0 | Stale:True
2026-03-06 09:14:00 | 00679B.TWO | Cur:27.62 | Prev:27.9 | H:27.62 | L:27.62 | Stale:True
2026-03-06 09:14:00 | 00687B.TWO | Cur:29.0 | Prev:29.29 | H:29.0 | L:29.0 | Stale:True
2026-03-06 09:14:00 | 0050.TW | Cur:77.4 | Prev:75.6 | H:77.4 | L:77.4 | Stale:True
2026-03-06 09:14:00 | 2603.TW | Cur:208.0 | Prev:209.5 | H:208.0 | L:208.0 | Stale:True
2026-03-06 09:14:00 | 2609.TW | Cur:60.0 | Prev:63.6 | H:60.0 | L:60.0 | Stale:True
2026-03-06 09:14:00 | 00679B.TWO | Cur:27.62 | Prev:27.9 | H:27.62 | L:27.62 | Stale:True
2026-03-06 09:14:00 | 00687B.TWO | Cur:29.0 | Prev:29.29 | H:29.0 | L:29.0 | Stale:True
2026-03-06 09:15:00 | 0050.TW | Cur:77.4 | Prev:75.6 | H:77.4 | L:77.4 | Stale:True
2026-03-06 09:15:00 | 2603.TW | Cur:208.0 | Prev:209.5 | H:208.0 | L:208.0 | Stale:True
2026-03-06 09:15:00 | 2609.TW | Cur:60.0 | Prev:63.6 | H:60.0 | L:60.0 | Stale:True
2026-03-06 09:15:00 | 00679B.TWO | Cur:27.62 | Prev:27.9 | H:27.62 | L:27.62 | Stale:True
2026-03-06 09:15:01 | 00687B.TWO | Cur:29.0 | Prev:29.29 | H:29.0 | L:29.0 | Stale:True
2026-03-06 09:16:01 | 0050.TW | Cur:77.4 | Prev:75.6 | H:77.4 | L:77.4 | Stale:True
2026-03-06 09:16:01 | 2603.TW | Cur:208.0 | Prev:209.5 | H:208.0 | L:208.0 | Stale:True
2026-03-06 09:16:01 | 2609.TW | Cur:60.0 | Prev:63.6 | H:60.0 | L:60.0 | Stale:True
2026-03-06 09:16:01 | 00679B.TWO | Cur:27.62 | Prev:27.9 | H:27.62 | L:27.62 | Stale:True
2026-03-06 09:16:01 | 00687B.TWO | Cur:29.0 | Prev:29.29 | H:29.0 | L:29.0 | Stale:True
2026-03-06 09:16:11 | 0050.TW | Cur:75.6 | Prev:75.6 | H:75.6 | L:75.6 | Stale:True
2026-03-06 09:16:11 | 2603.TW | Cur:209.5 | Prev:209.5 | H:209.5 | L:209.5 | Stale:True
2026-03-06 09:16:11 | 2609.TW | Cur:63.6 | Prev:63.6 | H:63.6 | L:63.6 | Stale:True
2026-03-06 09:16:11 | 00679B.TWO | Cur:27.9 | Prev:27.9 | H:27.9 | L:27.9 | Stale:True
2026-03-06 09:16:11 | 00687B.TWO | Cur:29.29 | Prev:29.29 | H:29.29 | L:29.29 | Stale:True
